row_id,request,expected_product,most_common_answer,consistency_score_pct,accuracy_pass,unique_variations,avg_time_per_query
11,LED燈 20Wx1 山型燈,舞光/LED-4143R5+DR7 舞-4尺單山型燈具+20W,"根據型錄內容，以下是LED燈產品及其規格的詳細統整：

1. **LED T8 燈管系列**（Page 330）
   - **產品型號**: LED-T820DR7, LED-T820NR7, LED-T820WR7
   - **消耗電力**: 20W
   - **色溫**: 6500K, 4000K, 3000K
   - **光通量**: 2200LM (6500K, 4000K), 2100LM (3000K)
   - **演色性**: ≧ 80
   - **輸入電壓**: 100-240V (全電壓)
   - **燈體材質**: 未指定

2. **手持工作燈**（Page 246）
   - **規格**: 20W
   - **特色**: 支援type-C充電，附USB孔可作臨時行動電源使用（輸出電壓5V/1A），三段式亮度調整與警示模式，背面磁吸設計，另有1/4螺孔設計通用雲台腳架。

3. **山形燈具**（Page 210）
   - **產品型號**: LED-2143R7, LED-21430MR1, LED-1143R3
   - **適用光源**: LED T8 2尺燈管X1（另計）
   - **尺寸**: L:627mm W:110mm H:80mm (LED-2143R7), L:629mm W:110mm H:80mm (LED-21430MR1), L:392mm W:132mm H:97mm (LED-1143R3)
   - **燈體材質**: 冷軋鋼板，不脫落固定螺絲

這些產品提供了多樣的選擇，從基本的LED燈管到多功能的手持工作燈，適合不同的照明需求。",4.0,❌ FAIL,85,13.581
12,LED燈 10Wx1 山型燈,舞光/LED-2143R5+DR7 舞-2尺單山型燈具+10W,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **神盾吸頂筒燈系列**（Page 123）
   - **10W 神盾吸頂筒燈**
     - 型號：LED-CEA10D, LED-CEA10N, LED-CEA10W, LED-CEA10D-BK, LED-CEA10N-BK, LED-CEA10W-BK
     - 消耗電力：10W
     - 色溫：6000K, 4000K, 3000K
     - 光通量：1000LM, 700LM
     - 燈體顏色：時尚白, 貴族黑
     - 演色性：≧ 80, ≧ 90
     - 輸入電壓：100-240V (全電壓)
     - 光束角：36°
     - 燈體材質：壓鑄鋁, 壓克力
     - 特點：可加裝商空吊管（P.340）

   - **20W 神盾吸頂筒燈**
     - 型號：LED-CEA20D, LED-CEA20N, LED-CEA20W, LED-CEA20D-BK, LED-CEA20N-BK, LED-CEA20W-BK
     - 消耗電力：20W
     - 色溫：6000K, 4000K, 3000K
     - 光通量：2000LM, 1600LM
     - 燈體顏色：時尚白, 貴族黑
     - 演色性：≧ 80, ≧ 90
     - 輸入電壓：100-240V (全電壓)
     - 光束角：36°
     - 燈體材質：壓鑄鋁, 壓克力
     - 特點：可加裝商空吊管（P.340）

2. **一體式山形燈**（Page 208）
   - 型號：D-OFM35D
   - 消耗電力：35W
   - 色溫：6500K
   - 光通量：4200LM
   - 演色性：≧ 80
   - 發光角度：210˚
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：鋁材、PC

3. **環標燈泡**（Page 316）
   - 型號：LED-E2710D-EG, LED-E2710N-EG, LED-E2710W-EG, LED-E2712D-EG, LED-E2712N-EG, LED-E2712W-EG, LED-E2716D-EG, LED-E2716N-EG, LED-E2716W-EG
   - 消耗電力：10W, 12W, 16W
   - 色溫：6500K, 4000K, 3000K
   - 光通量：1300LM, 1560LM, 2080LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：塑包鋁 PC 罩

這些產品的詳細規格和特點可以在型錄的相應頁面中找到。",3.0,❌ FAIL,85,20.181
13,LED燈 100Wx1 天井燈,舞光/D-HBAS100D 舞-100W 飛艦天井燈,"根據型錄內容，以下是LED燈100W天井燈的產品規格：

1. **產品型號**: D-HBCS100DR1
2. **消耗電力**: 100W
3. **色溫**: 5700K
4. **光通量**: 12000LM
5. **重量**: 2.26kg (含ㄇ鐵)
6. **演色性**: 未提供
7. **輸入電壓**: 未提供
8. **發光角度**: 未提供
9. **燈體材質**: 壓鑄鋁

此外，該產品具有以下特點：
- 通過節能標章認證及CNS認證，發光效率達160LM/W。
- 採用崧盛防水天井燈專用驅動器，一體成型防水更佳。
- 體積輕巧高散熱壓鑄鋁本體，內附支架可改吸頂式。
- 內附1米防墜吊繩，地震搖晃防墜落。
- 通過60°C長期高溫測試，適合台灣炎熱氣候。

這些資訊主要來自於型錄的第226頁和第233頁。",3.0,❌ FAIL,90,14.53
14,LED燈 10Wx1 壁式,舞光/OD-2272 舞-10W 月光壁燈 30K,"根據型錄內容，以下是所有LED燈產品及其規格：

1. **神盾吸頂筒燈系列**（Page 123）
   - **10W 神盾吸頂筒燈**
     - 型號：LED-CEA10D, LED-CEA10N, LED-CEA10W, LED-CEA10D-BK, LED-CEA10N-BK, LED-CEA10W-BK
     - 消耗電力：10W
     - 色溫：6000K, 4000K, 3000K
     - 光通量：1000LM, 700LM
     - 燈體顏色：時尚白, 貴族黑
     - 演色性：≧ 80, ≧ 90
     - 輸入電壓：100-240V (全電壓)
     - 光束角：36°
     - 燈體材質：壓鑄鋁, 壓克力

   - **20W 神盾吸頂筒燈**
     - 型號：LED-CEA20D, LED-CEA20N, LED-CEA20W, LED-CEA20D-BK, LED-CEA20N-BK, LED-CEA20W-BK
     - 消耗電力：20W
     - 色溫：6000K, 4000K, 3000K
     - 光通量：2000LM, 1600LM
     - 燈體顏色：時尚白, 貴族黑
     - 演色性：≧ 80, ≧ 90
     - 輸入電壓：100-240V (全電壓)
     - 光束角：36°
     - 燈體材質：壓鑄鋁, 壓克力

2. **防水壁燈/吸頂燈**（Page 255）
   - 型號：E-WL10DR1, E-WL10WR1, E-CE16DR1, E-CE16WR1
   - 消耗電力：10W, 16W
   - 色溫：6500K, 3000K
   - 光通量：800LM, 720LM, 1600LM, 1440LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：抗 UV PC

3. **白鯨防水壁燈**（Page 253）
   - 型號：E-WLBJ10D, E-WLBJ10W, E-WLBJ10D-BK, E-WLBJ10W-BK, E-WLBJ16D, E-WLBJ16W, E-WLBJ16D-BK, E-WLBJ16W-BK
   - 消耗電力：10W, 16W
   - 色溫：6500K, 3000K
   - 光通量：1150LM, 1100LM, 1850LM, 1750LM
   - 演色性：≧ 80
   - 發光角度：150°
   - 燈體材質：抗 UV PP

4. **LED燈泡系列**（Page 316）
   - 型號：LED-E2710D-EG, LED-E2710N-EG, LED-E2710W-EG, LED-E2712D-EG, LED-E2712N-EG, LED-E2712W-EG, LED-E2716D-EG, LED-E2716N-EG, LED-E2716W-EG
   - 消耗電力：10W, 12W, 16W
   - 色溫：6500K, 4000K, 3000K
   - 光通量：1300LM, 1560LM, 2080LM, 1250LM, 1500LM, 2000LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：塑包鋁 PC 罩

這些產品提供多種色溫和光通量選擇，適合不同的應用需求。",2.0,❌ FAIL,98,22.596
15,LED燈 10Wx1 壁式,舞光/OD-2272 舞-10W 月光壁燈 30K,ERROR: Connection error.,4.0,❌ FAIL,94,21.52
16,LED燈 50Wx1 壁投式,舞光/OD-FLZ50DR1 舞-50W 宙斯泛光燈 65K,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **Ai 智慧吸頂燈**
   - 型號：LED-CES30-TWM, LED-CES50-TWM
   - 消耗電力：30W, 50W
   - 色溫：3000K | 6500K
   - 光通量：2900LM (30W), 5000LM (50W)
   - 演色性：≥ 90
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：鐵底盤 PMMA 擴散罩
   - 特點：APP調光調色、多種控制方式、可搭配定時與情境設定、壁切調色（白光/黃光/小夜燈）
   - 參考頁碼：Page 185

2. **1/2/3/4 尺 燈管**
   - 型號：LED-T85DR7, LED-T85WR7, LED-T810DR7, LED-T810NR7, LED-T810WR8, LED-T815DR7, LED-T820DR7, LED-T820NR7, LED-T820WR7
   - 消耗電力：5W, 10W, 15W, 20W
   - 色溫：3000K, 4000K, 6500K
   - 光通量：500LM (5W), 1100LM (10W), 1650LM (15W), 2200LM (20W)
   - 演色性：≥ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：耐熱燈頭、玻璃、軟燈板
   - 參考頁碼：Page 330

3. **圓轉防水壁燈**
   - 型號：OD-2346
   - 消耗電力：13W
   - 色溫：3000K
   - 光通量：250LM
   - 演色性：≥ 80
   - 輸入電壓：100-240V (全電壓)
   - 驅動器：防水驅動器 (內含)
   - 發光角度：114°
   - 燈體材質：壓鑄鋁 散熱塑 深灰色粉體防鏽烤漆
   - 參考頁碼：Page 294

4. **雲朵單色吸頂燈系列**
   - 型號：LED-CEN24DR1, LED-CEN24NR1, LED-CEN24WR1, D-CEN30DR2, D-CEN30NR2, D-CEN30WR2, D-CEN50DR2, D-CEN50NR2, D-CEN50WR2
   - 消耗電力：24W, 30W, 50W
   - 色溫：3000K, 4000K, 6500K
   - 光通量：2160LM (24W), 3000LM (30W), 4500LM (50W)
   - 演色性：≥ 80
   - 輸入電壓：100-240V (全電壓)
   - 發光角度：180°
   - 燈體材質：PP塑膠
   - 參考頁碼：Page 145

5. **星鑽遙控吸頂燈**
   - 型號：LED-CES30DMR3, LED-CES50DMR3, LED-CES75DMR3
   - 消耗電力：2W-30W, 2W-50W, 2W-75W
   - 色溫：3000K-6500K
   - 光通量：15LM-3200LM (30W), 15LM-5200LM (50W), 15LM-7600LM (75W)
   - 演色性：≥ 80
   - 輸入電壓：100-240V (全電壓)
   - 發光角度：160°
   - 燈體材質：PMMA 星鑽燈罩 烤漆鐵底盤 PC 防觸電罩
   - 特點：四段調色（白光→黃光→自然光→小夜燈）
   - 參考頁碼：Page 153

這些產品的詳細規格和特點可以幫助您在選擇合適的照明設備時做出明智的決定。",4.0,❌ FAIL,87,32.558
17,LED燈 10Wx1 嵌入式,"舞光/DL-51040-LO+10W 舞-E27 15"" 橫崁+玻+10W","根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **神盾吸頂筒燈系列**（Page 123）
   - **10W 神盾吸頂筒燈**
     - 產品型號：LED-CEA10D, LED-CEA10N, LED-CEA10W, LED-CEA10D-BK, LED-CEA10N-BK, LED-CEA10W-BK
     - 消耗電力：10W
     - 色溫：6000K, 4000K, 3000K
     - 光通量：1000LM, 700LM
     - 燈體顏色：時尚白, 貴族黑
     - 演色性：≧ 80, ≧ 90
     - 輸入電壓：100-240V (全電壓)
     - 光束角：36°
     - 燈體材質：壓鑄鋁, 壓克力
     - 特點：可加裝商空吊管（參考 P.340）

   - **20W 神盾吸頂筒燈**
     - 產品型號：LED-CEA20D, LED-CEA20N, LED-CEA20W, LED-CEA20D-BK, LED-CEA20N-BK, LED-CEA20W-BK
     - 消耗電力：20W
     - 色溫：6000K, 4000K, 3000K
     - 光通量：2000LM, 1600LM
     - 燈體顏色：時尚白, 貴族黑
     - 演色性：≧ 80, ≧ 90
     - 輸入電壓：100-240V (全電壓)
     - 光束角：36°
     - 燈體材質：壓鑄鋁, 壓克力
     - 特點：可加裝商空吊管（參考 P.340）

2. **E27 10W 冰棒燈**（Page 319）
   - 產品型號：LED-E27F10DR9, LED-E27F10NR9, LED-E27F10WR9
   - 消耗電力：10W
   - 色溫：6500K, 4000K, 3000K
   - 光通量：1200LM, 1100LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：塑包鋁 PC 罩

3. **白鯨防水壁燈**（Page 253）
   - 產品型號：E-WLBJ10D, E-WLBJ10W, E-WLBJ10D-BK, E-WLBJ10W-BK, E-WLBJ16D, E-WLBJ16W, E-WLBJ16D-BK, E-WLBJ16W-BK
   - 消耗電力：10W, 16W
   - 色溫：6500K, 3000K
   - 光通量：1150LM, 1100LM, 1850LM, 1750LM
   - 燈體顏色：時尚白, 貴族黑
   - 演色性：≧ 80
   - 發光角度：150°
   - 燈體材質：抗 UV PP

這些產品的詳細規格和特點可以幫助您在選擇合適的燈具時做出明智的決定。",4.0,❌ FAIL,87,18.389
18,LED燈 10Wx1 吸頂式,舞光/EC-806+D-E2710WR10 舞-白筒燈 17X19CM+10W,"ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}",5.0,❌ FAIL,92,19.963
19,LED燈 9Wx1 照樹燈,舞光/OD-3174R1 舞-9W 照樹燈 30K 35°,"ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}",100.0,❌ FAIL,1,11.155
20,LED燈 10Wx1 草皮燈,舞光/OD-3168R2 舞-10W 馬克草皮燈 80CM 30K,"ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}",100.0,❌ FAIL,1,10.059
21,LED燈 25Wx1 高燈,舞光/OD-1034R1+D-E2725WR3 舞-E27X1 高燈+25W,"ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}",100.0,❌ FAIL,1,19.175
