ID,Category,Query,Expected,AI Answer,Result,Consistency %,Variations,Avg Time (s)
11,產品型號查詢,請問有推薦的「LED燈 20Wx1 吊管式 220V」產品嗎？,推薦型號為：舞光/L4140+65K,"- **需求判斷**：您是在找「特定規格」的燈具（**LED 燈 / 20W×1 / 吊管式 / 220V**）。
- **目錄符合度**：目前提供的目錄內容中，**沒有看到「20W×1 且可吊管式」的燈具型號**；不過有**最接近需求**的「吊管式」選項（功率為 18W），以及「20W」但**非吊管式**的替代方案如下。

---

## 最接近您需求（可吊管式，但功率為 18W×1）
- **1/2/4 尺勻光吸頂燈（可吊管式）— LED-2217D / LED-2217N**
  - **產品型號 / 功率**
    - LED-2217D：**18W**
    - LED-2217N：**18W**
  - **色溫**
    - LED-2217D：**6500K**
    - LED-2217N：**4000K**
  - **光通量**：**2160 lm**
  - **演色性 (Ra)**：**≧80**
  - **輸入電壓**：**100–240V（全電壓）**（包含 220V 可用）
  - **發光角度**：**220°**
  - **固定方式**：**吸頂式 / 吊管式**
    - 備註：**吊式壁板及日光燈吊管另計**
  - **燈體材質**：**PC、白色烤漆鋼板**
  - **特殊/結構特點（目錄描述）**
    - **霧面側蓋，併接不斷光**
    - **快裝結構設計**
    - **可加購吊管專用壁板 LED-4217-CN6**

---

## 若您「一定要 20W」：目錄內有 20W，但不是吊管式（供備選）
- **20W 神盾吸頂筒燈 — LED-CEA20D / LED-CEA20N / LED-CEA20W（皆為吸頂筒燈）**
  - **功率**：**20W**
  - **色溫 / 光通量**
    - LED-CEA20D：**6000K / 2000 lm**（Ra **≧80**）
    - LED-CEA20N：**4000K / 1600 lm**（Ra **≧90**）
    - LED-CEA20W：**3000K / 1600 lm**（Ra **≧90**）
  - **輸入電壓**：**100–240V（全電壓）**
  - **光束角**：**36°**
  - **材質**：**壓鑄鋁、壓克力**
  - ※ 但此系列在目錄中屬於**吸頂筒燈**，非「吊管式」。

---

如果您可以接受**18W×1（吊管式）**來達成「單燈、220V、吊管安裝」的需求，我會建議優先看 **LED-2217D（6500K）或 LED-2217N（4000K）**。  
想確認一下：您需要的是「**日光燈型長條燈具吊管**」還是「**筒燈吊管**」的做法？我可以再依您現場天花/管距與照度需求幫您更精準挑型號與色溫。",❌ Fail,100.0,1,20.51
12,產品型號查詢,請問有推薦的「LED燈 20Wx1 吸頂式 220V」產品嗎？,推薦型號為：舞光/L4140+65K,"- **需求判斷**
  - 你是在找「**特定規格：LED燈 20W×1、吸頂式、220V**」的產品。
  - 目錄中符合「**20W、吸頂、輸入 100–240V(全電壓，可用 220V)**」的系列為：**10/20W 神盾吸頂筒燈**中的 **20W 型號**。

---

- **推薦產品：20W 神盾吸頂筒燈（吸頂式 / 100–240V 全電壓，適用 220V）**
  - **共通規格（此系列 20W 型號）**
    - **消耗電力**：20W
    - **輸入電壓**：100–240V（全電壓，**含 220V**）
    - **光束角**：36°
    - **燈體材質**：壓鑄鋁、壓克力
    - **燈體顏色**：時尚白 / 貴族黑（依型號）
    - **特殊功能/備註**：※ 可加裝商空吊管（目錄註記）

- **型號與規格（依你想要的色溫/外觀選擇）**
  - **白光 6000K（時尚白）**：LED-CEA20D  
    - **色溫**：6000K  
    - **光通量**：2000 lm  
    - **演色性 Ra**：≧80
  - **自然光 4000K（時尚白）**：LED-CEA20N  
    - **色溫**：4000K  
    - **光通量**：1600 lm  
    - **演色性 Ra**：≧90
  - **黃光 3000K（時尚白）**：LED-CEA20W  
    - **色溫**：3000K  
    - **光通量**：1600 lm  
    - **演色性 Ra**：目錄此段未標示（20W 白殼 W 色溫欄位未提供）
  - **白光 6000K（貴族黑）**：LED-CEA20D-BK  
    - **色溫**：6000K  
    - **光通量**：2000 lm  
    - **演色性 Ra**：≧80
  - **自然光 4000K（貴族黑）**：LED-CEA20N-BK  
    - **色溫**：4000K  
    - **光通量**：1600 lm  
    - **演色性 Ra**：≧90
  - **黃光 3000K（貴族黑）**：LED-CEA20W-BK  
    - （此型號在截取內容中僅出現型號，**其色溫/光通量/Ra 未完整顯示**）

---

- **我會怎麼幫你快速選**
  - 想要**最亮、偏白**：選 **LED-CEA20D / LED-CEA20D-BK（6000K、2000lm、Ra≧80）**
  - 想要**看起來自然、顯色更好**：選 **LED-CEA20N / LED-CEA20N-BK（4000K、Ra≧90）**

如果你告訴我安裝位置（客廳/房間/走道）以及偏好 **白殼或黑殼、6000K/4000K/3000K**，我可以再幫你把型號精準收斂到 1 款。",❌ Fail,100.0,1,14.49
13,產品型號查詢,請問有推薦的「LED燈 20Wx1 壁式 220V」產品嗎？,推薦型號為：舞光/L4140+65K,"- **需求判斷**：您是以「規格」在找燈（**LED壁燈、20W×1、220V**）。依目錄內容，建議選擇「**全電壓 100–240V**」的壁燈，可直接涵蓋 **220V** 使用環境。

---

- **推薦 1｜艾絲防水壁燈 E-2357（20W）**
  - **產品型號**：E-2357  
  - **消耗電力**：20W（20W×1）
  - **色溫**：3000K
  - **光通量**：530 lm
  - **演色性（Ra）**：≧80
  - **輸入電壓**：100–240V（全電壓，含 220V）
  - **特殊/特色功能**：
    - **IP66 防水**
    - **防水驅動器（內含）**
    - 背板十字孔距設計，**可直式/橫式安裝**
    - 光型均勻柔和、霧面質感玻璃
  - **適用場景**：建築外牆、門廊等戶外/半戶外壁面

---

- **推薦 2｜艾絲防水壁燈 E-2358（20W）**
  - **產品型號**：E-2358
  - **消耗電力**：20W（20W×1）
  - **色溫**：3000K
  - **光通量**：580 lm
  - **演色性（Ra）**：≧80
  - **輸入電壓**：100–240V（全電壓，含 220V）
  - **特殊/特色功能**：
    - **IP66 防水**
    - **防水驅動器（內含）**
    - **可直式/橫式安裝**
    - 高質感玻璃設計、光型柔和
  - **適用場景**：建築外牆、門廊等

---

- **小提醒（幫您選型更準）**
  - 若您希望同為 20W 中 **亮度較高**，目錄數據顯示 **E-2358（580 lm）** 會比 **E-2357（530 lm）** 更亮一些。  
  - 方便的話請您補充：要裝在**室內或戶外**？偏好**直式或橫式**安裝？我可以再幫您縮小到最合適的型號。",❌ Fail,100.0,1,11.82
14,產品型號查詢,請問有推薦的「LED燈 15Wx1 嵌入式 220V」產品嗎？,推薦型號為：舞光/D-15DOP12DESR1,"- **需求判斷**：您是要找「特定規格」的產品——**LED 燈 15W ×1、嵌入式、220V**。  
- **目錄比對結果**：抱歉，目前的產品目錄中**沒有提到 15W ×1 的嵌入式 LED 成品燈**（可直接對應您需求的型號/規格未出現）。不過目錄中有**可用於 220V（100–240V 全電壓）**的嵌入式相關替代選項如下：

- **替代推薦 1｜神盾吸頂筒燈系列（10W，嵌燈/筒燈類）**
  - 產品型號：**LED-CEA10D**
    - 消耗電力：**10W**
    - 色溫：**6000K**
    - 光通量：**1000 lm**
    - 演色性：**Ra ≧80**
    - 輸入電壓：**100–240V（全電壓，可用 220V）**
    - 光束角：**36°**
    - 燈體材質：**壓鑄鋁、壓克力**
  - 產品型號：**LED-CEA10N**
    - 消耗電力：**10W**
    - 色溫：**4000K**
    - 光通量：**700 lm**
    - 演色性：**Ra ≧90**
    - 輸入電壓：**100–240V（全電壓，可用 220V）**
    - 光束角：**36°**
    - 燈體材質：**壓鑄鋁、壓克力**

- **替代推薦 2｜MR16 ×1 崁燈外殼（需另購光源）**
  - 產品型號：**KW-303 / KW-303-BK**
    - 適用光源：**MR16 ×1（另計）**
    - 尺寸：**外徑 φ88 mm、H: 25 mm**
    - 燈體材質：**鐵烤漆（白/黑）**
    - 特點：**可訂製三燈/四燈**、內附燈頭線  
  - ※ 此項在目錄頁僅提供「燈具本體」資訊，**未標示 220V/光源瓦數**；若您希望達到「15W ×1」，需要搭配相應 MR16 光源，但該光源規格不在本次目錄截圖內容內。

---

若您一定要「**15W ×1 嵌入式、220V**」，我可以再幫您精準比對：想要的**色溫（3000K/4000K/6000K）**、以及是偏好**筒燈（聚光）**還是**崁燈（可調角/MR16）**？我再依目錄內容幫您挑最接近的型號。",❌ Fail,100.0,1,15.86
15,產品型號查詢,請問有推薦的「LED 燈 13Wx2 壁式 220V」產品嗎？,推薦型號為：舞光/OD-2054-S+LED-E2712W-EG 舞-E27X2 小螺旋壁燈銀框 +12W*2,"以下我先判斷您的需求屬於「規格需求」：想找**壁式、LED、13W×2、可用 220V** 的產品。

不過依目前目錄內容來看，**沒有明確標示「單盞燈具＝13W×2（雙光源/雙燈頭）」**的壁燈型號；但有多款**單盞 13W、輸入電壓 100–240V（含 220V 可用）**的壁燈可供您用「**同型號買 2 盞**」來達成 **13W×2** 的配置。以下是目錄內可對應的推薦：

---

## 推薦方案（以同款買 2 盞，達成 13W×2、220V 可用）

### 1) 圓轉防水壁燈 OD-2346（建議 2 盞）
- **瓦數**：13W（×2 盞可達 13W×2）
- **輸入電壓**：100–240V（全電壓，**可用 220V**）
- **色溫**：3000K
- **演色性（Ra）**：≧80
- **光通量**：250 lm
- **特殊功能/特點**：
  - 外框**可手動旋轉**，可改變照射方向
  - **磁式面蓋無螺絲設計**
  - 可**直/橫式安裝**
  - **IP65**（戶外適用）
  - 防水驅動器（內含）

---

### 2) 方轉防水壁燈 OD-2347（建議 2 盞）
- **瓦數**：13W（×2 盞可達 13W×2）
- **輸入電壓**：100–240V（全電壓，**可用 220V**）
- **色溫**：3000K
- **演色性（Ra）**：≧80
- **光通量**：715 lm
- **特殊功能/特點**：
  - **可手動轉向**
  - 說明標示「**四種光型呈現，可隨環境調整**」
  - **IP66**（戶外適用）
  - 防水驅動器（內含）
  - ※目錄備註：**限裝裝潢板**

---

### 3) 貝拉防水壁燈 E-2354（建議 2 盞）
- **瓦數**：13W（×2 盞可達 13W×2）
- **輸入電壓**：100–240V（全電壓，**可用 220V**）
- **色溫**：3000K
- **演色性（Ra）**：≧80
- **光通量**：760 lm
- **特殊功能/特點**：
  - **燈頭可 270° 旋轉**（可調打光方向）
  - **IP66**（戶外適用）
  - 可用於建築外牆、門廊等
  - 防水驅動器（內含）
  - 適用直/橫式預埋盒（98mm／57mm）

---

### 4) 手風琴防水壁燈 E-2355（建議 2 盞）
- **瓦數**：13W（×2 盞可達 13W×2）
- **輸入電壓**：100–240V（全電壓，**可用 220V**）
- **色溫**：3000K
- **演色性（Ra）**：≧80
- **光通量**：840 lm
- **特殊功能/特點**：
  -（目錄截圖未提供 IP 等其餘描述；以上為可擷取到的規格）

---

## 我想再確認 2 個關鍵點，幫您選最適合
1) 您說的 **「13W×2」**是指：  
- A. **同一面牆要裝兩盞**（總共 2 盞 13W）？  
- B. 還是要**單盞燈具內建雙光源＝13W+13W**？

2) 安裝位置是**室外外牆/柱子**，還是**室內走道/玄關**？（若室外我會優先建議 IP65/IP66 的款式）

您回覆 A/B + 使用場所後，我可以在上面幾款中替您收斂到最適合的 1–2 款。",❌ Fail,100.0,1,19.88
16,產品型號查詢,請問有推薦的「LED 燈 50Wx1 壁投式 220V」產品嗎？,推薦型號為：舞光/E-FLCS50D 舞-50W 凱薩泛光燈 5700K,"抱歉，目前的產品目錄中**沒有提到符合「LED 燈 50W ×1、壁投式、220V」**的產品型號與規格（目錄內的壁燈多為 8W/13W 等級，50W 則出現在吸頂燈系列，且未標示為壁投式）。

若您可接受「同為 220V 可用（全電壓 100–240V）」但**先以現有目錄內相近用途/規格**提供替代方案，供您評估：

- **星鑽壁切調光吸頂燈｜LED-CES50DSWR3（吸頂，非壁投）**
  - 瓦數：**50W**
  - 色溫：**6500K**
  - 光通量：**5000 lm**
  - 演色性：**Ra ≧80**
  - 輸入電壓：**100–240V（全電壓，可用 220V）**
  - 特殊功能：**四段壁切調光（100% / 50% / 25% / 小夜燈）**、**記憶模式（開啟 >15 秒記憶亮度）**、快速安裝
  - 發光角度：**160°**
  - 燈體材質：PMMA 星鑽燈罩／鐵材烤白漆／PC 防觸電罩

- **貝拉防水壁燈｜E-2354（壁燈，非 50W）**
  - 瓦數：**13W**
  - 色溫：**3000K**
  - 光通量：**760 lm**
  - 演色性：**Ra ≧80**
  - 輸入電壓：**100–240V（全電壓，可用 220V）**
  - 特殊功能：**IP66 防水**、燈頭可 **270° 旋轉**（可調整打光方向）、內含防水驅動器
  - 燈體材質：壓鑄鋁、PC（深灰色粉體防鏽烤漆）

- **艾瑪防水壁燈｜OD-2249（壁燈，非 50W）**
  - 瓦數：**8W**
  - 色溫：**3000K**
  - 光通量：**400 lm**
  - 演色性：**Ra ≧80**
  - 輸入電壓：**100–240V（全電壓，可用 220V）**
  - 特殊功能：**IP66 防水**、可直/橫式安裝、內含防水驅動器
  - 發光角度：**140°**
  - 燈體材質：壓鑄鋁、強化玻璃（深灰色粉體防鏽烤漆）

如果您要的是**真正「壁投式 50W」**（偏戶外投光/投射用途），想跟您確認兩點，我才能更精準比對您需要的型式：  
1) 您說的「壁投式」是指**投光燈（可調角度、照牆面/招牌）**嗎？  
2) 需要的色溫是 **3000K 暖白**還是 **6500K 白光**？",❌ Fail,100.0,1,19.22
17,產品型號查詢,請問有推薦的「LED 燈 100Wx1 壁投式 220V」產品嗎？,推薦型號為：舞光/E-FLCS100D 舞-100W 凱薩泛光燈 5700K,"- **需求判斷**：您描述的是「**特定規格**」（LED 燈 **100W ×1**、**壁投式**、**220V**）。  
- **目錄符合度**：目前提供的目錄內容中，**沒有明確標示「100W 壁投式／投光燈（壁裝）」**的產品型號與規格。  
  - 因此若您一定要「壁投式投光燈 100W」，我這邊**無法從現有目錄直接推薦對應品項**。

以下提供「**同為 100W 且涵蓋 220V 的替代方案**」（前提是您現場燈具為 **E40 燈頭**、可接受以燈泡形式安裝在壁面燈具/投射燈具上）：

- **E40 100W 高天井燈泡｜LED-E40100D**（100W ×1，可用於 220V）
  - **消耗電力**：100W  
  - **色溫**：6500K  
  - **光通量**：13500 lm  
  - **演色性（Ra）**：≧80  
  - **輸入電壓**：100–277V（全電壓，**包含 220V**）  
  - **發光角度**：160°  
  - **特殊功能**：溫敏 IC（可隨安裝環境溫度調節功率，壽命長）、可取代 500W 水銀燈泡、最高使用電壓可到 277V  
  - **燈體材質**：PC、壓鑄鋁  

如果您方便，請回覆我兩點，我就能更精準判斷是否適用這顆 E40 100W 或需找其他系列：  
- 您的「壁投式」是**投光燈具（需 IP 防水）**，還是一般**壁燈座 E40 直上燈泡**？  
- 需要的色溫是 **白光 6500K** 還是 **黃光/自然光**？（目前 100W 只看到 6500K）",❌ Fail,100.0,1,15.08
18,產品型號查詢,請問有推薦的「LED 燈 20Wx2 吸頂式 220V」產品嗎？,推薦型號為：舞光/L4240+65K (組) 舞-4 尺 2 管 26W 工事燈 65K,"依您需求「**20W×2、吸頂式、220V**」，在目前目錄中最符合的是 **「20W 神盾吸頂筒燈」**系列（單顆20W；可裝2顆達成20W×2）。此系列為 **100–240V 全電壓**，因此 **220V 可直接使用**。

- **推薦方案：20W 神盾吸頂筒燈（裝2顆＝20W×2）**
  - **輸入電壓**：100–240V（全電壓，含 220V）
  - **光束角**：36°
  - **燈體材質**：壓鑄鋁 + 壓克力
  - **可選規格/型號（依色溫、燈體顏色）**：
    - **白光 6000K / Ra≧80 / 2000lm / 20W**
      - 時尚白：**LED-CEA20D**
      - 貴族黑：**LED-CEA20D-BK**
    - **自然光 4000K / Ra≧90 / 1600lm / 20W**
      - 時尚白：**LED-CEA20N**
      - 貴族黑：**LED-CEA20N-BK**
    - **黃光 3000K /（目錄未標示Ra，僅同系列列出）/ 1600lm / 20W**
      - 時尚白：**LED-CEA20W**
      - 貴族黑：**LED-CEA20W-BK**
  - **特殊/備註**：目錄註記 **「※ 可加裝商空吊管 P.340」**（若您有商空或挑高需求可評估）

若您方便，我也可以幫您更精準搭配：您要偏 **6000K白光 / 4000K自然光 / 3000K黃光**？以及燈體想要 **白色**還是 **黑色**？（同一空間裝2顆時，通常建議色溫一致）",❌ Fail,100.0,1,12.53
19,產品型號查詢,請問有推薦的「LED燈 40Wx1 平板燈」產品嗎？,推薦型號為：舞光/D-PD40DR7 舞-40W 柔光平板燈 65K,"您這題屬於「特定規格/名稱」需求：想找 **40W、4×1 尺(常見稱 40Wx1) 的 LED 平板燈**。  
不過依目前提供的目錄內容來看，**沒有一款「明確標示為 40W、4×1」且規格（色溫/演色性等）完整的平板燈資料**；因此我先提供目錄中「最接近 4×1 尺使用情境」的可選型號給您參考：

- **D-41PD25D-EGR1｜環標柔光平板燈（4×1/4×2 系列）**
  - 瓦數：**25W**
  - 色溫：**6500K**
  - 光通量：**3500 lm**（目錄標示）
  - 演色性：**Ra ≧80**
  - 特殊功能/特色：
    - **UGR<19 防眩**、護眼**無頻閃**、均光不刺眼
    - 通過「**環保標章**」、「**節能標章**」雙標認證
    - 使用**隔離驅動**（安全性高）
    - 平均壽命：**30,000 小時**
    - 安裝方式：**崁入式、吸頂式、吊鍊式**（吸頂框/吊鍊包需另計）
  - 輸入電壓：**100–277V（全電壓）**
  - 光束角：**90°**
  - 材質：鋁邊框、鐵底殼／PET 反射片／PS 高透光擴散板／PS 稜鏡板

- **D-42PD45D-EGR1｜環標柔光平板燈（4×1/4×2 系列）**
  - 瓦數：**45W**
  - 色溫：**6500K**
  - 光通量：**7000 lm**
  - 特殊功能/特色（同系列訴求）：
    - **UGR<19 防眩**、護眼**無頻閃**
    - 「環保標章」、「節能標章」雙標認證
    - **隔離驅動**
    - 平均壽命：**30,000 小時**
  - ※目錄截圖未在同一段落完整列出其 Ra/電壓/角度/材質表格（但系列頁面有上述共同特性）

- **關於您指定的「40W×1（4×1）」**
  - 目錄中有出現 **「D-41PD40D」** 這個型號字樣，但**目前截取內容沒有提供它的瓦數/色溫/演色性等完整規格表**，我無法在不補資料的情況下保證它就是您要的「40W 4×1」版本與細節。
  - 若您方便提供 **D-41PD40D** 的那一頁規格（或告訴我您要 6500K/4000K、要崁入或吸頂），我就能更精準對應到您要的 40W×1 方案。",❌ Fail,100.0,1,21.59
20,產品型號查詢,請問有推薦的「LED燈 20Wx1 山型燈」產品嗎？,推薦型號為：舞光/LED-4143R5+DR7 舞-4尺單山型燈具+20W,"依您提到的「LED燈 20Wx1 山型燈」，從目前目錄內容來看，最符合的會是**戶外用「防水微波感應泛光燈」(山型投光燈安裝形式常見)**，20W 有兩個色溫可選：

- **OD-SEFL20D｜防水微波感應泛光燈（白光）**
  - 瓦數：**20W**
  - 色溫：**6500K**
  - 光通量：**2000 lm**
  - 演色性：**Ra ≧ 80**
  - 輸入電壓：**100–240V（全電壓）**
  - 發光角度：**140°**
  - 防護：**IP66**
  - 特殊功能：**微波感應**、**防水驅動器（內含）**
  - 材質：**壓鑄鋁 + 強化玻璃**（深灰色粉體防鏽烤漆）

- **OD-SEFL20W｜防水微波感應泛光燈（黃光）**
  - 瓦數：**20W**
  - 色溫：**3000K**
  - 光通量：**1800 lm**
  - 演色性：**Ra ≧ 80**
  - 輸入電壓：**100–240V（全電壓）**
  - 發光角度：**140°**
  - 防護：**IP66**
  - 特殊功能：**微波感應**、**防水驅動器（內含）**
  - 材質：**壓鑄鋁 + 強化玻璃**（深灰色粉體防鏽烤漆）

如果您說的「山型燈」是要**常亮、不需要感應**的款式，這份目錄目前只明確列到「微波感應」版本；我可以再依您安裝位置（騎樓/車道/庭院）與想要白光或黃光，幫您選更適合的色溫與亮度。",❌ Fail,100.0,1,12.98
21,產品型號查詢,請問有推薦的「LED燈 10Wx1 山型燈」產品嗎？,推薦型號為：舞光/LED-2143R5+DR7 舞-2尺單山型燈具+10W,"依您詢問的「LED燈 10W×1 山型燈」，目前目錄中**沒有直接標示為「山型燈」**的品名；不過若您要找的是常見用於戶外/走道/門廊、外型偏「山形/膠囊型」的**單顆 10W 壁燈**，目錄內最接近的是以下這款「防水膠囊壁燈」系列（10W×1）：

- **防水膠囊壁燈｜E-WL10DR1（白光）**
  - 瓦數：**10W**
  - 色溫：**6500K**
  - 光通量：**800 lm**
  - 演色性：**Ra ≧80**
  - 輸入電壓：**100–240V（全電壓）**
  - 安裝方式：**壁燈**
  - 燈體材質/特性：**抗UV PC**
  - 特殊功能：目錄標示採用**防水驅動器**、**一體成型輕巧好安裝**

- **防水膠囊壁燈｜E-WL10WR1（暖白）**
  - 瓦數：**10W**
  - 色溫：**3000K**
  - 光通量：**720 lm**
  - 演色性：**（目錄未標示，僅同系列有列 Ra ≧80 的款式資訊）**
  - 輸入電壓：**（目錄未標示）**
  - 安裝方式：**壁燈**
  - 燈體材質/特性：**抗UV PC**
  - 特殊功能：目錄標示採用**防水驅動器**、**一體成型輕巧好安裝**

如果您說的「山型燈」是指**吸頂式**還是**壁掛式**？以及希望 **3000K 暖光**或 **6500K 白光**？我可以再依安裝位置（門口、車庫、陽台、樓梯間等）幫您把型號鎖得更精準。",❌ Fail,100.0,1,12.01
22,產品型號查詢,請問有推薦的「LED燈 100Wx1 天井燈」產品嗎？,推薦型號為：舞光/D-HBAS100D 舞-100W 飛艦天井燈,"- **需求分析（屬於「特定產品規格」需求）**  
  - 你要找的是「LED 天井燈、100W、1 盞」的配置；依目錄內容，最符合的是「飛碟天井燈 100W」系列，以及另有「E40 100W 高天井燈泡」可作為替換型選擇（依你現場燈具燈座/安裝型式決定）。

---

- **推薦 1：100W 飛碟天井燈（工廠/倉庫常用）**  
  - **產品型號**：LED-HIBAY100DR5  
  - **消耗電力**：100W  
  - **色溫**：6500K  
  - **光通量**：14000 lm  
  - **演色性（Ra）**：≧80  
  - **輸入電壓**：100–240V（全電壓）  
  - **發光角度**：120°  
  - **燈體材質**：壓鑄鋁 + PC（深灰色粉體防鏽烤漆）  
  - **特殊/重點功能（目錄描述）**：  
    - 通過長期高溫 **60°C** 測試（針對台灣炎熱氣候設計）  
    - 採用 **明緯天井燈專用驅動器**（一體成型，防水更好）  
    - **內附防墜繩**（地震搖晃防墜落）

---

- **推薦 2：E40 100W 高天井燈泡（若你是要換「燈泡型」而非整盞天井燈具）**  
  - **產品型號**：LED-E40100D  
  - **消耗電力**：100W  
  - **色溫**：6500K  
  - **光通量**：13500 lm  
  - **演色性（Ra）**：≧80  
  - **輸入電壓**：100–277V（全電壓）  
  - **發光角度**：160°  
  - **燈體材質**：PC、壓鑄鋁  
  - **特殊/重點功能（目錄描述）**：  
    - **溫敏 IC**：可隨安裝環境溫度調節功率，壽命長  
    - 可取代 **500W 水銀燈泡**  
    - 最高使用電壓可到 **277V**

---

- **我會建議你怎麼選（快速判斷）**  
  - 你現場如果是「**整盞天井燈具要新裝/替換**」：選 **LED-HIBAY100DR5（100W 飛碟天井燈）**。  
  - 如果你現場是「**E40 燈座、只想換燈泡**」：選 **LED-E40100D（E40 100W 高天井燈泡）**。

若你方便補充：安裝高度大約幾米、希望照明範圍/用途（倉庫走道、作業區、機台區），我可以再幫你更精準判斷 120° 或 160° 哪種更合適。",❌ Fail,100.0,1,13.35
23,產品型號查詢,請問有推薦的「LED燈 10Wx1 壁式」產品嗎？,推薦型號為：舞光/OD-2272 舞-10W 月光壁燈 30K,"您想找的是「特定規格：LED 10W ×1、壁式」的產品；依目錄內容，目前最符合的是 **「白鯨防水壁燈」10W 款**（單燈 10W、壁面安裝）。

- **產品名稱**：白鯨防水壁燈（10W 款）
- **產品型號**：E-WLBJ10W-BK（貴族黑）
- **消耗電力**：10W（10W ×1）
- **色溫**：3000K
- **光通量**：1100 lm
- **演色性 (Ra)**：抱歉，目錄段落中**未標示**
- **特殊/賣點功能（目錄描述）**：
  - 一體成型，輕巧好安裝
  - 抗 UV PP 材質，不易泛黃脆化
  - 快裝結構，安裝更方便
  - 適用戶外門廊等潮濕區域

若您方便補充要用在「室內/戶外」以及偏好「黃光3000K / 白光」我也可以再幫您把同系列或相近壁燈做更精準的對照推薦。",❌ Fail,100.0,1,11.26
24,產品型號查詢,請問有推薦的「LED燈 50Wx1 壁投式」產品嗎？,推薦型號為：舞光/OD-FLZ50DR1 舞-50W 宙斯泛光燈 65K,"- **需求判斷**：您是在找「特定規格/類型」的產品——**LED 燈 50W ×1、壁投式（壁面投射/壁掛投光）**。

- **目錄符合度結論**：  
  抱歉，目前的產品目錄中**沒有提到**「**50W×1 的壁投式/壁掛投光燈**」之產品型號與規格，因此無法直接推薦完全相符的型號。

- **目錄中較接近的「壁燈/戶外壁燈」替代選項（非 50W，供您評估）**：
  - **貝拉防水壁燈｜E-2354**
    - 瓦數：**13W**
    - 色溫：**3000K**
    - 光通量：**760 lm**
    - 演色性：**Ra ≧80**
    - 輸入電壓：**100–240V（全電壓）**
    - 特殊功能：**燈頭可 270° 旋轉**（可調整打光方向）、**IP66**、防水驅動器內含、適用建築外牆/門廊
  - **艾瑪防水壁燈｜OD-2249**
    - 瓦數：**8W**
    - 色溫：**3000K**
    - 光通量：**400 lm**
    - 演色性：**Ra ≧80**
    - 輸入電壓：**100–240V（全電壓）**
    - 發光角度：**140°**
    - 特殊功能：**可直/橫式安裝**、**IP66**、防水驅動器內含、適用外牆/柱子
  - **白鯨防水壁燈（系列）**
    - 型號/瓦數/色溫/光通量：
      - **E-WLBJ10W-BK**：**10W｜3000K｜1100 lm**
      - **E-WLBJ16D / E-WLBJ16D-BK**：**16W｜6500K｜1850 lm**
      - **E-WLBJ16W / E-WLBJ16W-BK**：**16W｜3000K｜1750 lm**
    - 特殊功能（目錄描述）：一體成型、抗 UV PP 材質、快裝結構、適用戶外門廊等潮濕區域  
    - ※ 演色性/發光角度/電壓：此段落目錄未提供完整表格數值

- **我可以更精準幫您對應型號**：請問您說的「壁投式」是要**戶外投射外牆/招牌**用（類投光燈），還是**室內壁面投光（洗牆/重點照明）**？另外希望的色溫是 **3000K/4000K/6500K** 哪一種？我再依目錄現有品項幫您挑最接近的搭配方式。",❌ Fail,100.0,1,14.41
25,產品型號查詢,請問有推薦的「LED燈 10Wx1 嵌入式」產品嗎？,"推薦型號為：舞光/DL-51040-LO+10W 舞-E27 15"" 橫崁+玻+10W","- **需求判斷**
  - 您想找的是「**10W、單燈(X1)、嵌入式(崁燈)**」類型。
  - 依目前目錄內容來看：**真正標示為「崁燈」且可做 10W 一體式的型號資訊不足**；但我可以提供兩種「最接近您需求」的選擇方向。

---

- **推薦方案 A：MR16 單燈崁燈燈具（嵌入式，燈泡另計，可搭配 10W MR16）**
  - **產品型號**：KW-303（白）/ KW-303-BK（黑）
  - **形式**：MR16 **X1（光源另計）** → 若您要「10W×1」，可自行搭配**10W MR16**光源（但目錄未提供 MR16 10W 規格，因此此處僅能說「可搭配」，無法替您確認 MR16 10W 的型號/流明/Ra）
  - **尺寸**
    - 外徑：**φ88**
    - 高度：**H: 25mm**
  - **燈體材質/顏色**
    - 白色鐵烤漆 / 黑色鐵烤漆
    - **內附燈頭線**
  - **特殊說明**
    - ※ 可訂製三燈 / 四燈（目錄註記）

---

- **推薦方案 B：10W「筒燈系列」一體式模組（但目錄未明確標示為嵌入式）**
  - 此系列在目錄中出現在「**神盾吸頂筒燈系列**」，名稱偏向吸頂/筒燈；若您可接受非崁入式或需再確認安裝方式，才建議選用。
  - **產品型號 / 規格（目錄可讀到的部分）**
    - **LED-CEA10D**
      - 消耗電力：**10W**
      - 色溫：**6000K**
      - 光通量：**1000LM**
      - 演色性：**Ra ≧80**
      - 輸入電壓：**100–240V（全電壓）**
      - 光束角：**36°**
      - 材質：**壓鑄鋁 + 壓克力**
    - **LED-CEA10N**
      - 消耗電力：**10W**
      - 色溫：**4000K**
      - 光通量：**700LM**
      - 演色性：**Ra ≧90**
      - （其餘欄位目錄截圖未完整顯示）
    - **LED-CEA10W**
      - 消耗電力：**10W**
      - （色溫/光通量/Ra 等在目前截圖中未完整顯示）

---

- **我需要跟您確認 1 件事，才能精準推薦**
  - 您的「嵌入式」是指：**天花板開孔的崁燈**嗎？若是，麻煩提供「**開孔尺寸（例如 7.5cm / 9.5cm）**」或天花板類型，我就能更精準判斷要走 **MR16 崁燈燈具 + 10W 光源**，或是改用其他更合適的系列。",❌ Fail,100.0,1,21.19
